# JUDUL: E-Mail-Adressen von internationalen Rundfunkstationen
# DESKRIPSI: Daftar email stasiun radio internasional
# UPDATE: 31 Desember 2025
# SUMBER: Hans-Friedrich Dumrese
# SEPARATOR: |
# KOLOM: Nama Radio|Email|Negara

Aasiaat R|bm@telepost.gl|Greenland
Band AM 600|bandam@plug-in.com.br|Brazil
Bandido Free R|bandidoradio@gmail.com|Italy
Bangladesh Betar|betar.external@yahoo.com|Bangladesh
Bangladesh Betar|dgbetar@bd.drik.net|Bangladesh
Bangladesh Betar|rrc@dhaka.net|Bangladesh
Bangladesh Betar|ts-betar@bdonline.com|Bangladesh
Basildon Hospital R|team@bhr.org.uk|UK
Bayrischer Rundfunk|info@br-online.de|Germany
BBC Afrique|luceena.leofrancis@encompass.co.ac|UK
BBC|monitoring@mglob.mg|Madagascar
BBC America Latina|escribanos@bbc.co.uk|Argentina
BBC Ascension|glen.yon@encompass.co.ac|Ascension Island
BBC Ascension|kerry.benjamin@encompass.co.ac|Ascension Island
BBC Ascension|ops.asc@babcock.co.uk|Ascension Island
BBC Ascension|shelley.knipe@encompass.co.ac|Ascension Island
BBC Ascension|jeff.francis@encompass.co.ac|Ascension Island
BBC Coventry & Warwickshire|coventry@bbc.co.uk|UK
BBC Essex|essex.online@bbc.co.uk|UK
BBC Hereford & Worcester|worcester@bbc.co.uk|UK
BBC Manchester|manchester.online@bbc.co.uk|UK
BBC Oman|rebers@omantel.net.om|Oman
BBC Oman|opsaseela@yahoo.com|Oman
BBC Seychelles|jose.tambara@babcock.sc|Seychelles
BBC World Service|worldservice.letters@bbc.co.uk|UK
BBC World Service|worldservice@bbc.co.uk|UK
BBC World Service Asian Network|asiannetwork@bbc.co.uk|UK
BBC World Service Brazilian Service|bbcevoce@bbc.co.uk|UK
BBC World Service London Live|yourlondon@bbc.co.uk|UK
BBC|dagmar.koeneking@bbc.co.uk|UK
BBC Reception Advice|reception@bbc.co.uk|UK
BBC Spanish Service|julia.zapata@bbc.co.uk|UK
BC Sce Danmark|info@bsd.dk|Denmark
BC Sce Danmark|nid@bsd.dk|Denmark
BCB Bahamas|bcbcorp@mail.bahamas.net.bs|Bahamas
BCing Center Europe|eugene_muller@clt-ufa.com|Luxembourg
BCing Center Europe|jacquot_junk@clt-ufa.com|Luxembourg
BCL News|info@bclnews.it|Italy
Beaumont Hospital R|bhr@tinet.ie|Ireland
Beibu Bay R|yinglian@cri.com.cn|China
Belaruskaye Radio 1|radio1@tvr.by|Belarus
Berekan Broadcasting Network|bbn@bbnourvoice.com|Clandestine
Bergen Kringkaster|1000@northernstar.no|Norway
Bergen Kringkaster|report@bergenkringkaster.no|Norway
Bergen Kringkaster|styret@bergenkringkaster.no|Norway
BFBS Northern Ireland|bfbsni@bfbs.com|UK
BFBS|alan.phillips@bfbs.com|UK
BFBS|bekid@bfbs.com|UK
Bhutan BCing Service|request@bbs.com.bt|Bhutan
Bhutan BCing Service|kakatshering@bbs.bt|Bhutan
Bhutan BCing Service|sherubt@bbs.com.bt|Bhutan
Bible Study BCB|admin@seed-time.org|USA
Bible Voice Broadcasting|mail@bvbroadcasting.org|Canada
Bible Voice Broadcasting|monitoring@mglob.mg|Madagascar
Big AM - 1170|info@big1170.co.uk|UK
Bilal R|bilalradio@yahoo.com|Ethiopia
Black Bandit R|doctortim@t-online.de|Netherlands
Black Cat Radio|blackcatradio1@gmail.com|Pirate
Blue Moon R|bluemoonradio188@gmail.com|Ireland
BlueMan R|bluemanradio@hotmail.de|International
BlueStar R|bluestarradio@live.nl|International
BPM Time Signal Stn|ch117@nts.ac.cn|China
Breeze 1359/1431|engineering@netforce.net|UK
Breeze 1359/1431|studios@essexradio.co.uk|UK
Breeze 1521|studio@mercuryfm.co.uk|UK
Bretagne 5|contactradio@bretagne5.fr|France
Bretagne 5|stephanehamon@orange.fr|France
Bretagne 5|test@bretagne5.fr|France
Braocasting Center Europe|eugene_muller@bce.lu|Luxembourg
Broadcasting San Jose CW 41|mmarin@netgate.com.uy|Uruguay
Broadland 102|sales@broadland102.co.uk|UK
BRT|info@radio1.be|Belgium
Bulgarian National R Horizont|pelovska@bnr.bg|Bulgaria
Bulgarian National R Horizont|kounov@bnr.bg|Bulgaria
Bulgarian National R|gendirector@bnr.bg|Bulgaria
Bulgarian National R|pr.fb@bnr.bg|Bulgaria
Bulgarian National R|sofia@bnr.bg|Bulgaria
Cadena Circuito Cori|coriamfm@adinet.com.uy|Uruguay
Cadena de Noticias|cdn@codetel.net.do|Dominican Republic
Call of Hope|info@call-of-hope.com|International
Capital Gold 603/1242|info@invictaradio.co.uk|UK
Capital Gold 945/1323|info@southernradio.co.uk|UK
Capital Gold 1152|info@brmb.co.uk|UK
Capital Gold 1170/1557|info@oceanfm.co.uk|UK
Capital Gold 1305/1359|mail@reddragonfm.co.uk|UK
Capital Gold 1548|info@capitalradio.co.uk|UK
CARACOL|comercial@caracol.com.co|Colombia
Caribbean BC|cbc@caribsurf.com|Barbados
Caribbean Beacon|beacon@anguillamet.com|Anguilla
Caribbean Beacon|drgenescott@mail.drgenescott.org|Anguilla
Caribbean R Lighthouse|cradiolight@candw.ag|Antigua
Caribbean R Lighthouse|lighthousebimi@gmail.com|Antigua
Carillon R|jsketchley@aol.com|UK
Castle Transmission Int'l|enginfo@bbc.co.uk|UK
Catalunya Hit Fm|avladev@kissfm.es|Spain
CBC North|patrick.nagle@cbc.ca|Canada
Centro Radiofonico de Imbabura|c.r.i.internacional@hotmail.com|Ecuador
Century R|radio@centurynortheast.com|UK
Cesky Impuls|moderator@ceskyimpuls.cz|Czech Republic
Cesky Impuls|matous.hrabak@ceskyimpuls.cz|Czech Republic
Cesky Rozhlas Dvojka|cr@radio.cz|Czech Republic
Cesky Rozhlas Plus|info@rozhlas.cz|Czech Republic
Cesky Rozhlas Plus|jaromir.studeny@rozhlas.cz|Czech Republic
Cesky Rozhlas Plus|mluvci@rozhlas.cz|Czech Republic
CFAI|gilmore@mi.net|Canada
CFMB Montreal|admin@cfmb.ca|Canada
CFPL London|bbrady@cfplradio.com|Canada
CFRX 6070/CFRB 1010|cfrbcfrxreport@gmail.com|Canada
CFRX Toronto|receptionreports@yahoo.ca|Canada
CFRX Toronto|cfrx@ymail.com|Canada
CFRX Toronto|va3sd@yahoo.ca|Canada
CFVP 6030/CKMX 1060|dxerharold@gmail.com|Canada
CFVP/CKMX Calgary|qslcalgary@gmail.com|Canada
CFYK Yellowknife|bcarr@yellowknife.cbc.ca|Canada
CFYK Yellowknife|cmackie@yellowknife.cbc.ca|Canada
Channel 292|info@channel292.de|Germany
Channel Africa English|english@channelafrica.org|South Africa
Channel Africa SENTECH Meyerton|hoosens@sentech.co.za|South Africa
Channel Africa SENTECH Meyerton|support@sentech.co.za|South Africa
Cheetah R|michelle@cheetahpower.net|Germany
Cheetah R|radio@cheetahlearning.com|Germany
Chelmsford Calling World Service|chelmcalling@gmail.com|UK
Chelmsford Calling World Service|info@chelmsfordcalling.co.uk|UK
Chelmsford Calling World Service|info@chelmsfordcalling.com|UK
CHFX/CHNX/CHNS Halifax|chnx@post.com|Canada
China National R DRM tests|drmrptrc@163.com|China
China National R|yinglian@cri.com.cn|China
China R Int'l Albanian Service|alb@cri.com.cn|China
China R Int'l Arab Service|arab@cri.com.cn|China
China R Int'l Arab Service|jyjywang@126.com|China
China R Int'l Audience Relations|crieng@mail.cri.cngb.com|China
China R Int'l Bengali Service|ben@cri.com.cn|China
China R Int'l Bulgarian Service|bulgarian@chinabroadcast.cn|China
China R Int'l Burmese Service|myanmar@cri.cn|China
China R Int'l Cambodian Service|cam@cri.com.cn|China
China R Int'l Chinese Service|chnjlb@cri.com.cn|China
China R Int'l Croatian Service|cro@cri.com.cn|China
China R Int'l Czech Service|cze@cri.com.cn|China
China R Int'l English Service|crieng@public.bta.net.cn|China
China R Int'l English Service|kperron@hotmail.com|China
China R Int'l Esperanto Service|espradio@cri.com.cn|China
China R Int'l French Service|crifra@cri.com.cn|China
China R Int'l German Service|ger@cri.com.cn|China
China R Int'l Hausa Service|hausa@cri.com.cn|China
China R Int'l Hindi Service|hindi@cri.com.cn|China
China R Int'l Hungarian Service|hun@cri.com.cn|China
China R Int'l Indonesian Service|indo@cri.com.cn|China
China R Int'l Italian Service|criita@vip.sina.com|China
China R Int'l Italian Service|criita@yahoo.com.cn|China
China R Int'l Italian Service|criitaliano@yahoo.com.cn|China
China R Int'l Japanese Service|nihao2180@cri.com.cn|China
China R Int'l Korean Service|korean@cri.com.cn|China
China R Int'l Laotian Service|laos@chinabroadcast.cn|China
China R Int'l Malaysian Service|mal@cri.com.cn|China
China R Int'l Mongolian Service|mon@cri.com.cn|China
China R Int'l Nepali Service|nepali@cri.com.cn|China
China R Int'l Persian Service|per@cri.com.cn|China
China R Int'l Philippine Service|litolf@126.com|China
China R Int'l Polish Service|pol@cri.com.cn|China
China R Int'l Portuguese Service|cripor@cri.com.cn|China
China R Int'l Pushtu Service|pushtu@chinabroadcasting.cn|China
China R Int'l Reception Research|0033@cnr.cn|China
China R Int'l Romanian Service|rom@cri.com.cn|China
China R Int'l Russian Service|crirus@cri.com.cn|China
China R Int'l Russian Service|rus@cri.com.cn|China
China R Int'l Russian Service|rusnet@cri.com.cn|China
China R Int'l Serbian Service|ser@cri.com.cn|China
China R Int'l Singhalese Service|sgb01cn@yahoo.com.cn|China
China R Int'l Spanish Service|spa@cri.com.cn|China
China R Int'l Swahili Service|kiswahili@cri.com.cn|China
China R Int'l Tamil Service|tamil@cri.com.cn|China
China R Int'l Thai Service|tai@cri.com.cn|China
China R Int'l Turkish Service|tur@cri.com.cn|China
China R Int'l Ukrainian Service|ukr@cri.cn|China
China R Int'l Urdu Service|urd@cri.com.cn|China
China R Int'l Vietnam Service|vie@cri.com.cn|China
CHMB Vancouver|chmb@am1320.com|Canada
CHNX Halifax|snarfdude@hotmail.com|Canada
CHR 1431|chrstudio@bigfoot.com|UK
Christian Vision|andrewflynn@christianvision.com|International
Christian Vision|info@cvc.tv|Australia
Christian Vision|rickjoseph@cvc.tv|Australia
Christian Vision|brigitteraper@cvc.tv|Australia
Christian Voice|danny@christianvoice.org|UK
CHU Time Sigs Stn|radio.chu@nrc-cnrc.gc.ca|Canada
CHUC Cobourg|chuc@eagle.ca|Canada
CHUC Cobourg|jton@eagle.ca|Canada
CHUR North Bay|piker@ViaNet.on.ca|Canada
Ciel AM|radio.ciel@tdf.iside.net|France
Ciel AM|francks@nouveau-mensuel.com|France
CINA Toronto|cinaradio@gmail.com|Canada
CINA Toronto|feedback@cinaradio.com|Canada
City Beat 96,7|music@citybeat.co.uk|UK
CKBI Prince Albert|j.scarrow@sasknet.sk.ca|Canada
CKNB Campbellton|dave.montgomery@mbsradio.com|Canada
Classic Gold 666/954|colinslade@musicradio.com|UK
Classic Gold 774|reception@severnfm.musicradio.com|UK
Classic Gold 828|sales@2crfm.musicradio.com|UK
Classic Gold 828|sales@musicradio.com|UK
Classic Gold 936/1161|reception@gwrfm.musicradio.com|UK
Classic Gold 1260|reception@classicgold.musicradio.com|UK
Classic Gold 1260|reception@gwrfm.musicradio.com|UK
Classic Gold 1557|reception@northants96.musicradio.com|UK
Classic Gold Amber Norfolk|sales@broadland102.co.uk|UK
Classic Gold Amber Suffolk|editor@sgrfm.co.uk|UK
Classic Gold Amber|sales@amberradio.co.uk|UK
Classic Gold GEM|admin@gemammusicradio.com|UK
Clinic R|clinicradio@gmx.net|UK
Clyde 2|clyde2@srh.co.uk|UK
C.M. Obrecht Shortwave Radio|c.obrecht@swissonline.ch|Switzerland
Coalition Maritime R One|marlo.bahrain@marlobahrain.org|Bahrain
Colmundo Radio|colradio@latino.net.co|Colombia
Colmundo Bogota|colradio@latino.net.co|Colombia
Commando Solo|193sow@pamdt.ang.af.mil|USA
Commando Solo|brent.keener@paharr.ang.af.mil|USA
Commando Solo|christopher.cleaver@paharr.ang.af.mil|USA
Commando Solo|edward.shank@paharr.ang.af.mil|USA
Community R Youghal|ycradio@iol.ie|Ireland
Connemara Community R|ccradio@connemara.net|Ireland
CoolAM R|coolamradio@hotmail.com|Netherlands
COPE Alicante|direccion.alicante@cadenacope.net|Spain
COPE Alicante|tecnico.alicante@cope.es|Spain
COPE Badajoz|tecnico.badajoz@cadenacope.net|Spain
COPE Huelva|comercial.huelva@cadenacope.net|Spain
COPE Jerez|tzona2.suroeste@cadenacope.net|Spain
COPE Lugo|direccion.lugo@cadenacope.net|Spain
COPE Lugo|tecnico.lugo@cadenacope.net|Spain
COPE Lugo|tecnico.lugo@cope.es|Spain
COPE Malaga|director.malaga@cadenacope.net|Spain
COPE Malaga|tecnico.malaga@cope.es|Spain
COPE Villareal/Castellon|tecnico.castellon@cadenacope.net|Spain
COPE Comunicacion|comunicacion@cope.es|Spain
COPE Documentacion|documentacion@cope.es|Spain
COPE Tecnico|tecnico@cope.es|Spain
Cork Campus R|s.wylde@ucc.ie|Ireland
Cotton Tree News|abennett@horindelle.org|Vatican
County Sound R|eagle@countysound.co.uk|UK
County Sound R|onair@countysound.co.uk|UK
CPN R|postmaster@cpn.com.pe|Peru
Crazy Wave R|shortwave@gmx.de|Germany
CRE|cresat@gye.satnet.net|Ecuador
Creepy R|creepyradio@outlook.com|Germany
Croatian R|hictv@aol.com|Croatia
Croatian R|hrtinf@hrt.hr|Croatia
Croatian R|program@hrt.hr|Croatia
Croatian R|d.pavlic@hrt.hr|Croatia
Croatian R|ivana.jadresicd@hrt.hr|Croatia
Croatian R|ivana.matic@hrt.hr|Croatia
Croatian R|mladen.golubic@oiv.hr|Croatia
Croatian R|ird@hrt.hr|Croatia
Cupid R|cupidradio@hotmail.com|Netherlands
CVC R Christian Voice|1africa@cvc.tv|Zambia
CVC R Christian Voice|brigitteraper@cvcmedia.tv|Zambia
CVC R Christian Voice|edeline_1@forum.cvc.tv|Zambia
CVC R Christian Voice|voicefm@zamnet.zm|Zambia
CX20 R Monte Carlo|cx20@netgate.comintur.com.uy|Uruguay
CX24 R Nuevotiempo|La1010@adinet.com.uy|Uruguay
Cyprus Broadcasting Corporation|rik@cybc.com.cy|Cyprus
Dance Wave|nmgrtv@xmsnet.nl|Netherlands
Danko R|dankoradio@mtva.hu|Hungary
Danko R|kovacs.ivan@mtva.hu|Hungary
Danko R|kozonsegszolgalat@mtva.hu|Hungary
Danmarks Radio|drkommunikation@dr.dk|Denmark
Danmarks Radio|erik@koie.dk|Denmark
Danmarks Radio|teknikinfo@dr.dk|Denmark
Danmarks Radio 243 kHz|jens.seeberg@teracom.dk|Denmark
De Derde Man|dederdeman@hotmail.com|Netherlands
Democratic Vo Burma|acn@dvb.no|Norway
Democratic Vo Burma|francis@dvb.no|Norway
Deutsche Welle|info@dw.com|Germany
Deutsche Welle|andrea.schulz@dw.com|Germany
Deutsche Welle English Service|english@dw.com|Germany
Deutsche Welle German Service|german@dw.com|Germany
Deutsche Welle Haussa Service|hausa@dw.de|Germany
Deutsche Welle Swahili Service|swahili@dw.de|Germany
Deutscher Wetterdienst|seeschifffahrt@dwd.de|Germany
Deutscher Wetterdienst|wilfried.behncke@dwd.de|Germany
Deutsches Radio Ulaanbaatar|deutschesradioub@galsan.info|Germany
Deutschlandfunk|hoererservice@dradio.de|Germany
Deutschlandfunk|sendernetzbetrieb@dradio.de|Germany
DigiDX|reports@digidx.uk|UK
Dinamica 14.90 AM|ccd@cantv.net|Venezuela
Dominica BC|dbsradio@dbsradio.com|Dominica
Domo I Viti|fijidemocracy@hotmail.com|USA
Downtown R|programmes@downtown.co.uk|UK
DP07 Marine R|info@dp07.com|Germany
DP07 Marine R|info@esd-hh.de|Germany
DRS Musikwelle|distribution.helpdesk@srgssrideesuisse.ch|Switzerland
DRS Zuerich|info@broadcast.ch|Switzerland
DSCR Dublin South Community R|dscradmin@oceanfree.net|Ireland
Dunamis Broadcasting|mail@biblevoice.org|Canada
Dunamis Broadcasting|heather@biblevoice.org|Canada
DX Antwerp|dxaqsl@gmail.com|Belgium
DZRH Manila Broadcasting|r.salonga@mbcradio.net|Philippines
E.M.R.|studio@emr.org.uk|UK
Earth One|earthone@gcn.co.uk|UK
East Coast R|online@eastcoastradio.fm|Ireland
Echo of Europe|contact@echoofeurope.eu|International
Echoes de le Verite|101352.2136@compuserve.com|France
Ecos del Torbes|gavillamizar@hotmail.com|Venezuela
Edelkampioen & Sandor|edelkampioen@hotmail.com|Netherlands
Eesti R|webmaster@er.ee|Estonia
Eesti R Int. Rel.|ilona@er.ee|Estonia
Eglise du Christ|egliseduchrist@videotron.ca|Canada
Egyptian Broadcasting|freqmeg@yahoo.com|Egypt
Eldoradio|claude.muller@eldoradio.lu|Luxembourg
Eldoradio|luc.melsen@eldoradio.lu|Luxembourg
ElevenSeventy|info@elevenseventy.co.uk|UK
Elvis & Pony Show|mustangradio@live.nl|Netherlands
ELWA Monrovia|elwaradio54@gmail.com|Liberia
ELWA Monrovia|info@sim.org|Liberia
Emisora Atlantico|oro@inter.net.co|Colombia
Emisora Continental CV160|emisoracontinental@hotmail.com|Uruguay
Emisoras del Este CW54|xmin60@adinet.com.uy|Uruguay
Emisoras Unidas|emisorasunidas@centramerica.com|Guatemala
End Times Coming Ministry|info@godsword.co.uk|International
Enterprise R|enterpriseradio@hotmail.com|Italy
ERA Komotini|era-komo@otenet.gr|Greece
ERTU R Matruh|freqmeg@yahoo.com|Egypt
Eternal Good News|gabry@cox.net|USA
Eternal Good News|clevernameradio@hotmail.com|USA
Eternal Good News|eternalgoodnews@sbcglobal.net|USA
EU News Network|contact@news-network.eu|International
Europa 24|radioeuropa24@gmx.de|Germany
Europa Radio Int'l|admin@europaradiointernational.co.uk|UK
European Gospel R|reports@nexus.org|International
European Music R|emr@blueyonder.co.uk|UK
European Music R|emrshortwave@gmail.com|UK
European Music R|emrsw@sky.com|UK
European Music R|studio@emr.org.uk|UK
Eurosonor R|radio@eurosonor.de|Germany
Evangelische Missionsgemeinden|info@missionsbote.de|Germany
Evangeliums-Radio Hamburg|evangeliums-radio-hamburg@t-online.de|Germany
Everest Radio|comments@everesttimeslondon.com|Austria
Everest Radio|everestradio@hotmail.com|Austria
Everest Radio|info@everesttimeslondon.com|Austria
Falklands Islands R Service|cbishop@firs.co.fk|Falkland Islands
Famagusta Gazette R|news@famagusta-gazette.com|USA
Fame 1521|studio@mercuryfm.co.uk|UK
Family R|espanol@familyradio.org|USA
Faro del Caribe|faro@cristo.net|Costa Rica
Faro del Caribe|far
